epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.9323,1.06473,3.98784,1.17099,0.00618,0.45942,0.07414,0.04788,1.05378,3.91529,1.07744,2.668e-05,2.668e-05,2.668e-05
2,5.20203,1.15988,4.02141,1.20888,0.00796,0.4614,0.08715,0.06876,1.04012,3.90771,1.06825,6.00235e-05,6.00235e-05,6.00235e-05
3,6.5861,1.13706,3.87767,1.15194,0.01419,0.49513,0.10885,0.08403,1.06283,3.87584,1.05985,9.33395e-05,9.33395e-05,9.33395e-05
4,7.75039,1.15707,3.39331,1.17038,0.01825,0.57846,0.11139,0.08235,1.09773,3.84956,1.05921,0.000126606,0.000126606,0.000126606
5,8.93275,1.28299,3.20681,1.3111,0.02002,0.44354,0.1192,0.08377,1.10229,3.76027,1.07248,0.000159802,0.000159802,0.000159802
6,10.1253,1.11772,2.62525,1.17982,0.01989,0.44553,0.12465,0.08595,1.11958,3.65068,1.09003,0.000192905,0.000192905,0.000192905
7,11.3061,1.15851,2.52138,1.20687,0.02083,0.49603,0.11091,0.07791,1.18023,3.46831,1.12839,0.000225895,0.000225895,0.000225895
8,12.4942,1.09499,2.25077,1.10246,0.92978,0.03552,0.1061,0.07437,1.23519,3.42032,1.16289,0.000258749,0.000258749,0.000258749
9,13.7806,1.19968,2.2076,1.24118,0.0196,0.64484,0.13511,0.08244,1.29465,3.3905,1.17994,0.000291446,0.000291446,0.000291446
10,14.9217,1.13385,1.98318,1.23924,0.02036,0.6131,0.12276,0.08129,1.31968,3.36224,1.18457,0.000323964,0.000323964,0.000323964
11,16.0463,1.24385,2.13259,1.19926,0.93706,0.06318,0.15077,0.0909,1.39993,3.27324,1.24325,0.000356284,0.000356284,0.000356284
12,17.1724,1.16799,1.92246,1.20196,0.82117,0.11241,0.23759,0.15487,1.4128,2.96423,1.29116,0.000388383,0.000388383,0.000388383
13,18.2511,1.24939,2.22562,1.22442,0.83341,0.19143,0.31025,0.15896,1.49814,2.83992,1.35063,0.000420241,0.000420241,0.000420241
14,19.38,1.1631,1.87615,1.19795,0.79988,0.19246,0.19775,0.12129,1.54477,2.70624,1.36612,0.000451838,0.000451838,0.000451838
15,20.5185,1.04701,1.72039,1.16919,0.71013,0.20077,0.19523,0.1153,1.5338,2.62565,1.37727,0.000483152,0.000483152,0.000483152
