epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.3706,1.17657,1.35201,1.22318,0.66958,0.52682,0.61565,0.45855,1.08561,1.12475,1.12235,8.33e-06,8.33e-06,8.33e-06
2,71.8859,1.16316,1.40702,1.23659,0.67646,0.54845,0.63476,0.47202,1.07696,1.09134,1.11764,1.77412e-05,1.77412e-05,1.77412e-05
3,119.555,1.21167,1.35425,1.26416,0.69323,0.56263,0.64546,0.48209,1.06963,1.06915,1.11242,2.67069e-05,2.67069e-05,2.67069e-05
4,169.417,1.16418,1.29773,1.20275,0.7064,0.57291,0.6624,0.49657,1.05998,1.04895,1.10615,3.48997e-05,3.48997e-05,3.48997e-05
5,219.599,1.13347,1.20189,1.19011,0.74014,0.5942,0.68049,0.50916,1.05418,1.0295,1.09942,4.20226e-05,4.20226e-05,4.20226e-05
6,269.905,1.1652,1.23567,1.21258,0.72745,0.64315,0.69578,0.52232,1.04652,1.00778,1.09527,4.78211e-05,4.78211e-05,4.78211e-05
7,316.723,1.12286,1.22314,1.21432,0.74371,0.64767,0.71318,0.53717,1.03972,0.9804,1.08969,5.20952e-05,5.20952e-05,5.20952e-05
8,363.711,1.10116,1.15833,1.16798,0.77402,0.63245,0.72109,0.54615,1.02702,0.94535,1.08298,5.47075e-05,5.47075e-05,5.47075e-05
9,411.304,1.12107,1.09306,1.18788,0.78534,0.64259,0.73539,0.55598,1.01424,0.91437,1.07781,5.55913e-05,5.55913e-05,5.55913e-05
10,456.872,1.12697,1.13063,1.17203,0.77687,0.67506,0.7485,0.56501,1.0062,0.89894,1.07228,5.47547e-05,5.47547e-05,5.47547e-05
11,503.178,1.10067,1.20322,1.13911,0.75579,0.68805,0.75456,0.5742,1.0022,0.8809,1.06728,5.22827e-05,5.22827e-05,5.22827e-05
12,551.39,1.11226,1.14892,1.17163,0.76857,0.68719,0.75799,0.57638,0.99571,0.86915,1.06508,4.83362e-05,4.83362e-05,4.83362e-05
13,600.111,1.09919,1.14575,1.15563,0.77054,0.68785,0.75991,0.5791,0.98874,0.86623,1.06108,4.18924e-05,4.18924e-05,4.18924e-05
14,648.416,1.1029,1.13129,1.14285,0.72771,0.69259,0.76162,0.58109,0.98527,0.86704,1.05939,3.33527e-05,3.33527e-05,3.33527e-05
15,696.784,1.0916,1.05091,1.14868,0.73303,0.6927,0.76485,0.58318,0.98355,0.86511,1.05843,2.54715e-05,2.54715e-05,2.54715e-05
16,745.211,1.05456,1.0251,1.09399,0.77891,0.66642,0.7637,0.58341,0.98162,0.86185,1.05749,1.84429e-05,1.84429e-05,1.84429e-05
17,793.907,1.07562,1.04002,1.13743,0.78371,0.66885,0.76449,0.5852,0.981,0.85894,1.05694,1.24399e-05,1.24399e-05,1.24399e-05
18,842.891,1.06726,1.00236,1.11403,0.82625,0.65269,0.76529,0.58575,0.98121,0.85918,1.0564,7.61026e-06,7.61026e-06,7.61026e-06
19,891.22,1.03494,0.97108,1.11669,0.81855,0.65817,0.76326,0.5874,0.98066,0.85905,1.05633,4.07302e-06,4.07302e-06,4.07302e-06
20,939.298,1.04939,1.01123,1.1403,0.82226,0.65862,0.76557,0.58923,0.97956,0.85877,1.0556,1.91522e-06,1.91522e-06,1.91522e-06
