epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.22077,1.12272,5.55003,1.25471,0.15729,0.15079,0.03576,0.02098,1.07655,4.77015,1.1398,2.668e-05,2.668e-05,2.668e-05
2,5.31707,1.19436,5.05339,1.29665,0.29579,0.0969,0.07496,0.04777,1.08539,4.8297,1.1411,5.99384e-05,5.99384e-05,5.99384e-05
3,7.50449,1.04357,2.83842,1.14576,0.4544,0.28684,0.33284,0.26042,1.00316,17.402,1.10435,9.28109e-05,9.28109e-05,9.28109e-05
4,9.66693,0.96523,1.80275,1.09218,0.76385,0.33616,0.38571,0.27946,1.00032,9.39811,1.09287,0.000124997,0.000124997,0.000124997
5,11.8572,1.17903,2.0187,1.26107,0.46296,0.61291,0.49844,0.36045,1.00177,3.67533,1.06441,0.000156202,0.000156202,0.000156202
6,13.9918,0.97985,1.42541,1.10337,0.64513,0.49388,0.53935,0.41587,1.00404,2.86703,1.0622,0.000186142,0.000186142,0.000186142
7,16.1902,0.9723,1.40148,1.1125,0.77438,0.40891,0.46809,0.37566,1.09715,2.35768,1.10114,0.000214545,0.000214545,0.000214545
8,18.3182,1.04992,1.45423,1.06596,0.65466,0.42576,0.44781,0.34238,1.14088,2.51847,1.12474,0.000241155,0.000241155,0.000241155
9,20.3439,1.05226,1.36053,1.17563,0.50883,0.44589,0.4111,0.28541,1.20742,2.23736,1.12549,0.000265735,0.000265735,0.000265735
10,22.4,0.98424,1.26646,1.14711,0.87082,0.31032,0.40177,0.28844,1.25558,2.0588,1.15567,0.000288068,0.000288068,0.000288068
11,24.3546,1.0689,1.23457,1.11773,0.5121,0.36346,0.40745,0.2717,1.32422,1.99991,1.23221,0.00030796,0.00030796,0.00030796
12,26.3273,0.95812,1.1484,1.08673,0.77671,0.35422,0.43013,0.26105,1.28175,1.90509,1.23942,0.000325243,0.000325243,0.000325243
13,28.3384,0.98516,1.37081,1.1003,0.72651,0.32468,0.34479,0.21137,1.27645,1.90139,1.27336,0.000339777,0.000339777,0.000339777
14,30.3873,1.0076,1.08004,1.08715,0.6464,0.26028,0.27161,0.18374,1.29683,1.93499,1.31173,0.000351449,0.000351449,0.000351449
15,32.3854,0.89775,1.09672,1.07342,0.72336,0.39635,0.37966,0.245,1.30244,1.66509,1.31174,0.000360178,0.000360178,0.000360178
16,34.3083,0.98018,1.02023,1.04025,0.43001,0.40628,0.38096,0.2502,1.29371,1.5671,1.28334,0.000365915,0.000365915,0.000365915
17,36.2177,0.92508,1.02552,1.04304,0.38968,0.44417,0.37033,0.23723,1.33348,1.75621,1.2886,0.000368644,0.000368644,0.000368644
18,38.1421,0.99412,1.16743,1.15087,0.39467,0.36787,0.39097,0.24929,1.35656,1.71827,1.31075,0.00036838,0.00036838,0.00036838
19,40.0215,0.91399,0.88371,1.0302,0.55596,0.39049,0.36299,0.25809,1.37797,1.55135,1.33386,0.000365175,0.000365175,0.000365175
20,41.9772,0.90394,1.03061,1.1093,0.5871,0.36678,0.35824,0.25886,1.38863,1.51526,1.3262,0.000359112,0.000359112,0.000359112
